datetime,price
2026-03-21T00:00:42+00:00,0.225
2026-03-22T00:00:39+00:00,0.225
2026-03-23T00:00:33+00:00,0.2
2026-03-24T00:00:30+00:00,0.215
2026-03-25T00:00:44+00:00,0.215
2026-03-26T00:00:47+00:00,0.205
2026-03-27T00:00:40+00:00,0.17
2026-03-28T00:00:43+00:00,0.031
2026-03-29T00:00:47+00:00,0.152
2026-03-31T00:00:56+00:00,0.07
2026-04-02T00:00:56+00:00,0.0355
2026-04-09T00:00:22+00:00,0.0155
2026-04-18T00:00:16+00:00,0.0075
2026-04-22T00:00:15+00:00,0.0045
2026-04-23T00:00:17+00:00,0.004
2026-04-24T00:00:31+00:00,0.005
2026-04-25T00:00:15+00:00,0.0055
2026-04-26T00:00:09+00:00,0.005
2026-04-27T00:00:11+00:00,0.0045
2026-04-28T00:00:12+00:00,0.0035
2026-04-29T00:00:10+00:00,0.004
