datetime,price
2025-01-31T00:00:04+00:00,0.1
2025-02-01T00:00:05+00:00,0.07
2025-02-02T00:00:04+00:00,0.065
2025-02-03T00:00:05+00:00,0.065
2025-02-04T00:00:04+00:00,0.045
2025-02-05T00:00:04+00:00,0.0305
2025-02-06T00:00:05+00:00,0.0235
2025-02-07T00:00:04+00:00,0.023
2025-02-08T00:00:04+00:00,0.0255
2025-02-09T00:00:06+00:00,0.0245
2025-02-10T00:00:05+00:00,0.0255
2025-02-11T00:00:04+00:00,0.0255
2025-02-12T00:00:04+00:00,0.0255
2025-02-13T00:00:04+00:00,0.024
2025-02-14T00:00:05+00:00,0.016
2025-02-15T00:00:04+00:00,0.0175
2025-02-16T00:00:04+00:00,0.0205
2025-02-17T00:00:04+00:00,0.03
2025-02-18T00:00:04+00:00,0.0325
2025-02-19T00:00:04+00:00,0.033
2025-02-20T00:00:04+00:00,0.035
2025-02-21T00:00:05+00:00,0.0355
2025-02-22T00:00:05+00:00,0.0375
2025-02-23T00:00:04+00:00,0.0405
2025-02-24T00:00:04+00:00,0.0385
2025-02-25T00:00:04+00:00,0.0325
2025-02-26T00:00:05+00:00,0.0315
2025-02-27T00:00:05+00:00,0.0295
2025-02-28T00:00:05+00:00,0.034
2025-03-01T00:00:05+00:00,0.015
2025-03-02T00:00:05+00:00,0.0085
2025-03-03T00:00:05+00:00,0.01
2025-03-04T00:00:05+00:00,0.01
2025-03-05T00:00:04+00:00,0.012
2025-03-06T00:00:05+00:00,0.013
