datetime,price
2023-09-20T00:00:02+00:00,0.55
2023-09-21T00:00:02+00:00,0.81
2023-09-22T00:00:02+00:00,0.805
2023-09-23T00:00:02+00:00,0.815
2023-09-24T00:00:02+00:00,0.76
2023-09-25T00:00:02+00:00,0.755
2023-09-26T00:00:02+00:00,0.79
2023-09-27T00:00:03+00:00,0.8
2023-09-28T00:00:03+00:00,0.795
2023-09-29T00:00:02+00:00,0.81
2023-09-30T00:00:02+00:00,0.83
2023-10-01T00:00:02+00:00,0.82
2023-10-02T00:00:02+00:00,0.83
2023-10-03T00:00:02+00:00,0.65
2023-10-04T00:00:03+00:00,0.73
2023-10-05T00:00:02+00:00,0.765
2023-10-06T00:00:02+00:00,0.815
2023-10-07T00:00:02+00:00,0.735
2023-10-08T00:00:02+00:00,0.735
2023-10-09T00:00:02+00:00,0.73
2023-10-10T00:00:02+00:00,0.885
2023-10-11T00:00:02+00:00,0.9
2023-10-12T00:00:02+00:00,0.9
2023-10-13T00:00:02+00:00,0.955
2023-10-14T00:00:02+00:00,0.94
2023-10-15T00:00:02+00:00,0.955
2023-10-16T00:00:02+00:00,0.955
2023-10-17T00:00:02+00:00,0.955
2023-10-18T00:00:02+00:00,0.925
2023-10-19T00:00:02+00:00,0.9425
2023-10-20T00:00:02+00:00,0.975
2023-10-21T00:00:02+00:00,0.97
2023-10-22T00:00:02+00:00,0.9785
2023-10-23T00:00:02+00:00,0.975
2023-10-24T00:00:02+00:00,0.98
2023-10-25T00:00:02+00:00,0.98
2023-10-26T00:00:02+00:00,0.98
2023-10-27T00:00:02+00:00,0.98
2023-10-28T00:00:02+00:00,0.9795
2023-10-29T00:00:03+00:00,0.9795
2023-10-30T00:00:03+00:00,0.9795
2023-10-31T00:00:02+00:00,0.9845
2023-11-01T00:00:02+00:00,0.99
