MarketId,Slug,Question,EndDate,Active,Closed,Archived,ResolvedOutcome,Volume,Liquidity,Volume24hr,Year,YesTokenId,NoTokenId
949495,fed-rate-cut-by-june-2026-meeting,Fed rate cut by June 2026 meeting?,2026-06-17T00:00:00Z,True,False,False,,272140.83715799986,79602.43222,390.408051,2026,36209573008978970585450419316941249216001556298548579804182609641681769351835,92543936057805227559878526277749911113690688310000219713571176010393727192590
1092482,jerome-powell-out-as-fed-chair-by-may-14-2026,"Jerome Powell out as Fed Chair by May 14, 2026?",2026-05-14T00:00:00Z,True,False,False,,3115500.9697040003,234623.17241,234803.10766500005,2026,15699440674241797968871736402001807248437809029766812124799046031951432118179,67963538564589498705883559226646960920126097677481524718945577185843487091775
1115676,jerome-powell-out-from-fed-board-by-may-30,Jerome Powell out from Fed Board by May 30?,2026-12-31T00:00:00Z,True,False,False,,199543.45297900026,18486.05896,3579.829129,2026,114416829164975790576326088373163479063474576684458706744602465016755698445177,111465765405317365090658414407575839901605128900468296572919857459529094784869
1115677,jerome-powell-out-from-fed-board-by-december-31,Jerome Powell out from Fed Board by December 31?,2026-12-31T00:00:00Z,True,False,False,,120657.695993,10134.2082,8.64,2026,22801850234146882171623964647122386741389461559306988855789494206399090605744,60429019529811633285660551458326478341862682357270076981022045678880535964564
1164197,jerome-powell-federally-charged-by-june-30,Jerome Powell federally charged by June 30?,2026-06-30T00:00:00Z,True,False,False,,265854.101220999,4377.5137,51.0,2026,107671717400735842545673592247189459640956547755396706532512303730485017789159,47948568691434181269145277147047519070991783042932324801828572823671564218932
1167867,jerome-powell-in-jail-before-2027,Jerome Powell in jail before 2027?,2026-12-31T00:00:00Z,True,False,False,,3537.540282000001,5416.70613,,2026,10274139152534384251017455838851445623724469609385325980618819709847638888457,75339476850326931824022029185486522879279572156423762049357605931737321668309
1168133,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt25-at-the-end-of-2026-971,Will the upper bound of the target federal funds rate be 2.25% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,70707.08202099994,5376.75959,9.65,2026,22041816684222995832827286579718756449177525604552575185729167841575371811511,30722923551251377760935076967830403176200756460207968800542652410814932643112
1168134,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt5-at-the-end-of-2026-876,Will the upper bound of the target federal funds rate be 2.5% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,158709.41258899984,11786.31236,9.65,2026,74366238780126511156198005038700786940884582649388457649794697077780927240575,73111932040759725999696984609269224705760896374161152252423768299058178483816
1168135,will-the-upper-bound-of-the-target-federal-funds-rate-be-2pt75-at-the-end-of-2026-218,Will the upper bound of the target federal funds rate be 2.75% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,45886.50858300002,17078.77726,12.68,2026,10021099765479877880206130084102113471770375449510519368096296649508325006675,43741673772979840608427729723619432164896600165987192499903280534638952977639
1168136,will-the-upper-bound-of-the-target-federal-funds-rate-be-3pt0-at-the-end-of-2026-593,Will the upper bound of the target federal funds rate be 3.0% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,454593.3899209998,9806.9859,9.65,2026,22030816399818413560467152256926658656366292051273475071688151582132139764281,25727124709156563745313136619789212129028607048433410847650871425435693217078
1168137,will-the-upper-bound-of-the-target-federal-funds-rate-be-3pt25-at-the-end-of-2026-282,Will the upper bound of the target federal funds rate be 3.25% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,51342.49314900002,4670.0649,9.67,2026,30366180262779010808139929063676071042343089991674577710986189846984779742371,85677146697569934787475823154714326727658905985619546396571251691878626416300
1168138,will-the-upper-bound-of-the-target-federal-funds-rate-be-3pt5-at-the-end-of-2026-352,Will the upper bound of the target federal funds rate be 3.5% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,190009.89995100006,4905.8572,13.0,2026,76542734491881647384543632699602825265030157099252760960463268833056461102034,53986214156874056289716055834359990128615286284879588756681565739744095952761
1168139,will-the-upper-bound-of-the-target-federal-funds-rate-be-3pt75-at-the-end-of-2026-166,Will the upper bound of the target federal funds rate be 3.75% at the end of 2026?,2026-12-09T00:00:00Z,True,False,False,,517953.17925900035,6527.09612,105.43253,2026,77981338513262421050195407227805423999001074679019211738787029756025412233520,67538289943759516608015485329281824073862511746412848500581938783863030221584
